X,Y
-274.2982642054258,9174.299545806694
-286.0,9223.0
-296.6209008335961,9267.220841862956
-327.0,9395.0
-327.57084126586,9397.470457258578
-347.10077962712444,9485.06908680506
-361.0,9554.0
-382.0,9671.0
-384.3399684589312,9685.846177389289
-402.0,9816.0
-412.0,9909.0
-412.2791083452197,9913.089297042612
-414.0,9944.0
-418.6582197929229,10028.289097614306
-422.0,10102.0
-426.0,10248.0
-426.7366745303703,10344.749361043272
-426.0,10494.0
-425.8213162837242,10513.31019282358
-419.2416992266612,10716.500357522486
-417.0,10750.0
-414.0,10792.0
-411.4317145665329,10827.3267786059
-396.08715045313926,11030.314145633429
-390.0,11101.0
-380.6308980778591,11194.94904783847
-369.5301085390814,11284.580013076056
-363.0,11332.0
-339.97974041764826,11481.78825216125
-338.0,11493.0
-327.0,11552.0
-318.4774513913425,11597.017896757472
-293.0,11714.0
-254.36460969626876,11855.750699653856
-209.0,12010.0
-202.08281600959523,12032.657489854433
-129.3738958401722,12225.694724127627
-121.0,12245.0
-56.0,12390.0
46.0,12589.0
66.99488462975563,12627.267995888576
153.7124769888533,12766.447656048163
220.0,12862.0
236.8430792515229,12886.636065244114
297.0,12968.0
423.41538594349555,13117.39237399741
457.0,13156.0
581.8568924518745,13289.92660572007
661.0,13353.0
777.0,13451.0
793.849658246351,13464.608548342901
924.0,13563.0
954.1723970680534,13584.556375374481
1064.0,13659.0
1200.0,13743.0
1716.7442792629276,13996.167099006781
1834.0,14041.0
2025.8087757291112,14103.188994725277
2217.0,14154.0
2261.651559499348,14164.73427260932
2456.0,14205.0
2478.0707209744332,14209.158513560005
2543.0,14221.0
2871.5219683655478,14272.821591148173
2908.0,14278.0
3074.6852924274945,14299.67974568091
3208.1161830185715,14314.253317766554
3276.0,14321.0
3320.5628910096816,14325.106892425149
3506.0,14340.0
3526.2774582976745,14341.687222656432
3648.0,14352.0
3676.523928757387,14354.415074573262
3880.703674370912,14371.645485652147
3968.0,14379.0
4188.500074159737,14397.380829361702
4261.0,14403.0
4438.0,14416.0
4523.0248266159615,14421.985895029942
4633.0,14429.0
4989.0,14449.0
5012.964483784329,14450.334377490799
5143.8197639973505,14457.285446010224
5185.0,14459.0
5349.657218301969,14465.535444392804
5486.0,14471.0
5565.644542228132,14474.357196604535
5767.0,14483.0
5770.3902989995595,14483.116624688137
5927.0,14488.0
5976.80341692247,14489.621540874876
6163.0,14496.0
6167.984176488521,14496.180433577
6360.432624429986,14505.651197151747
6365.0,14506.0
6485.0,14519.0
6501.252820571929,14521.671492757268
6577.0,14537.0
6579.412254576304,14537.585233639094
6644.7807257318445,14555.810612727935
6666.0,14563.0
6722.454899678635,14585.997857770906
6807.0,14631.0
6835.08914862977,14650.651386921025
6859.0,14677.0
6860.023383939515,14678.293984504118
6897.0,14733.0
6897.992519668789,14734.875178481521
6920.0,14784.0
6934.211216503085,14815.857111505582
6948.0,14843.0
6992.0,14906.0
6997.680685462091,14912.497893041993
7028.0,14943.0
7034.710488575531,14948.956643257592
7077.55537269151,14982.489748564796
7096.0,14996.0
7124.864483328258,15016.43645116082
7160.0,15035.0
7199.425513361971,15052.738028894519
7257.0,15077.0
7299.8937546428115,15092.624148744835
7320.0,15097.0
7326.487511873095,15098.687093750186
7420.0,15123.0
7422.587086399698,15123.58187402706
7515.569270391493,15142.374330957635
7556.0,15150.0
7610.215347285899,15159.897738898824
7661.452726100641,15168.648269383315
7704.0,15176.0
7722.698078676669,15179.272751462764
7803.0,15195.0
7922.0,15224.0
7951.066657947363,15231.713476172214
8031.60212295276,15255.463339836057
8069.0,15267.0
8137.078631466993,15288.03099190611
8179.0,15301.0
8225.986577130216,15315.554466907373
8292.0,15336.0
8420.0,15376.0
8423.096811716663,15377.003395859287
8625.154357963851,15448.749825542627
8657.0,15461.0
8744.9896149108,15495.6406544865
8779.0,15509.0
8903.0,15557.0
8918.478223279595,15563.011246868738
8965.0,15581.0
9043.747114629168,15610.22334214552
9105.0,15632.0
9234.0,15676.0
9248.524331679899,15680.929812830567
9430.764067315551,15742.298881021354
9445.0,15747.0
9646.0,15813.0
9700.602048602792,15830.870924293878
9778.0,15850.0
9825.91362062567,15857.966378594218
9991.0,15882.0
9994.92663462739,15882.392409122667
